address,authority,latitude,longitude
6803 2287 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99723385,31.03403792
REAPING TIME,CHITUNGWIZA MUNICIPALITY,-17.99684902,31.03427202
2662 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99609604,31.03308057
2660 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99604076,31.03298809
2625 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99692229,31.03355614
2656 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99592482,31.03279692
8206 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99708528,31.03280492
2610 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99613759,31.03392695
2633 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99692276,31.03308248
2611 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99630647,31.0339647
2617 79 CHIEDZA ROAD,CHITUNGWIZA MUNICIPALITY,-17.99658387,31.03378915
2605 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99593093,31.03373543
2651 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99595967,31.03250087
2623 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9968351,31.03359022
2664 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99615538,31.03317077
2641 BANGO ROAD,CHITUNGWIZA MUNICIPALITY,-17.9965352,31.0326348
2659 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99668291,31.03270365
2670 MHONGO STREET,CHITUNGWIZA MUNICIPALITY,-17.9962764,31.0333925
2596,CHITUNGWIZA MUNICIPALITY,-17.9958429,31.0331073
8201 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99680915,31.032327
8213 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9973323,31.03293317
2666 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99621276,31.03326243
2609 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9961864,31.0340491
2623 BANGO ROAD ST MARY,CHITUNGWIZA MUNICIPALITY,-17.9968593,31.033656
2625 BANGO ROAD ST MARY,CHITUNGWIZA MUNICIPALITY,-17.996947,31.0336476
